"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
226,"nonspatial_sub",0.311584415941158,0.320890378176242,"extinct",1,0,1,1,FALSE,0.625000000000028,32.0416666666666,16,41.3652886794733,82.3399963378906,56,30,0.01,FALSE
227,"single_case",0,0.715435822019074,"single_case",1,0,0,1,TRUE,3.62500000000003,32.0416666666666,1,0,14.5500001907349,NA,NA,0.01,FALSE
228,"single_case",0,0.521659423217911,"single_case",1,0,0,1,FALSE,1.12500000000003,30.2916666666666,20,46.25,172.960006713867,41,8,0.01,FALSE
229,"single_case",0,1.08718489690781,"single_case",1,0,0,1,FALSE,1.12500000000003,32.9583333333333,19,26.1604294465264,113.949996948242,50,16,0.01,FALSE
230,"single_case",0,0.3722029760564,"single_case",1,0,0,1,FALSE,0.791666666666694,32.1249999999999,16,46.2471745553953,115.080001831055,60,31,0.01,FALSE
231,"single_case",0,0.975731468825328,"single_case",1,0,0,1,FALSE,2.62500000000003,33.2916666666666,8,9.24999999999997,32.2200012207031,33,9,0.01,FALSE
232,"single_case",0,0.92065810521616,"single_case",1,0,0,1,TRUE,3.54166666666669,31.7916666666666,1,0,14.5799999237061,NA,NA,0.01,FALSE
233,"single_case",0,1.39629460485523,"single_case",1,0,0,1,FALSE,2.20833333333336,31.2916666666666,10,29.23151738539,117.480003356934,17,1,0.01,FALSE
234,"single_case",0,0.802038090064997,"single_case",1,0,0,1,FALSE,-0.791666666666638,30.2916666666666,27,29.2485554015223,68.3000030517578,33,10,0.01,FALSE
235,"nonspatial_sub",0.110116126928984,0.826861139830398,"extinct",1,0,1,1,FALSE,3.62500000000003,33.5416666666666,3,18.4629858639918,117.069999694824,35,6,0.01,FALSE
236,"nonspatial_sub",0.276238906852707,2.74761684652289,"extinct",2,0,2,1,FALSE,0.208333333333361,34.0416666666666,24,18.4998777036443,38.0299987792969,29,19,0.02,FALSE
237,"single_case",0,1.44191032156181,"single_case",1,0,0,1,FALSE,-0.958333333333305,31.1249999999999,28,20.6830501894697,76.3399963378906,25,7,0.01,FALSE
238,"nonspatial_sub",0.735027930426541,0.611725971999072,"extinct",1,0,1,1,TRUE,0.375000000000028,32.9583333333333,16,0,4.73000001907349,NA,NA,0.01,FALSE
239,"single_case",0,1.28954009409122,"single_case",1,0,0,1,TRUE,0.958333333333361,33.9583333333333,16,0,29.4200000762939,NA,NA,0.01,FALSE
240,"single_case",0,1.07590313122921,"single_case",1,0,0,1,FALSE,1.12500000000003,31.3749999999999,14,55.5,138.800003051758,58,9,0.01,FALSE
241,"single_case",0,1.89620144376204,"single_case",1,0,0,1,TRUE,0.125000000000028,30.0416666666666,23,0,15.7399997711182,NA,NA,0.01,FALSE
242,"single_case",0,1.93013344708618,"single_case",1,0,0,1,FALSE,2.70833333333336,30.7916666666666,4,9.24999999999997,68.0599975585938,27,14,0.01,FALSE
243,"single_case",0,0.272459702111046,"single_case",1,0,0,1,FALSE,2.04166666666669,33.9583333333333,11,9.24412794392856,37.8400001525879,47,25,0.01,FALSE
244,"single_case",0,0.955302835751078,"single_case",1,0,0,1,FALSE,-0.458333333333305,30.7083333333333,27,9.25000000000007,34.2400016784668,32,11,0.01,FALSE
245,"single_case",0,0.694457365764711,"single_case",1,0,0,1,FALSE,-0.208333333333305,30.7083333333333,27,37.0000000000001,79.2399978637695,47,11,0.01,FALSE
246,"single_case",0,0.826442985536337,"single_case",1,0,0,1,FALSE,2.95833333333336,34.2083333333333,3,79.5356993567041,184,54,6,0.01,FALSE
247,"single_case",0,1.10571806682896,"single_case",1,0,0,1,FALSE,-0.208333333333305,31.1249999999999,26,49.8124905928353,129.270004272461,43,8,0.01,FALSE
248,"single_case",0,0.202729850136717,"single_case",1,0,0,1,FALSE,1.45833333333336,31.2083333333333,14,20.6822890678216,86.6800003051758,25,6,0.01,FALSE
249,"single_case",0,1.02507694949785,"single_case",1,0,0,1,TRUE,-1.37499999999997,30.0416666666666,29,0,25.3199996948242,NA,NA,0.01,FALSE
250,"nonspatial_sub",0.180036569362914,1.24281002300352,"extinct",1,0,1,1,FALSE,1.87500000000003,34.5416666666666,12,46.234153317183,149.949996948242,41,5,0.01,FALSE
251,"single_case",0,0.662452084467262,"single_case",1,0,0,1,TRUE,1.87500000000003,33.6249999999999,11,0,24.9200000762939,NA,NA,0.01,FALSE
252,"single_case",0,1.21831287031814,"single_case",1,0,0,1,TRUE,0.708333333333361,30.3749999999999,20,0,28.7600002288818,NA,NA,0.01,FALSE
253,"single_case",0,0.667111815810668,"single_case",1,0,0,1,TRUE,0.958333333333361,34.2083333333333,16,0,17.0499992370605,NA,NA,0.01,FALSE
254,"single_case",0,0.305951861898716,"single_case",1,0,0,1,FALSE,1.12500000000003,30.2916666666666,20,46.25,172.960006713867,41,8,0.01,FALSE
255,"single_case",0,2.19253718164989,"single_case",1,0,0,1,FALSE,3.20833333333336,31.0416666666666,4,9.23550187109245,36.8300018310547,41,26,0.01,FALSE
